CASEID,provincp,rpincear,rpagegrp,rpsex,rphighestedp,spincear,spagegrp,spsexp,sphighestedp,ch04toip,ch517toip,y1824toip,m301,m302tot,m308,totexpen
 3682,13,  18000, 5,2,2,  26000, 6,1,2,0,0,0,    0,    0,    0,  72777
 2407,13,      0,10,2,6,      0,11,1,1,0,0,0,    0,    0,    0,  53589
 4704,13,  30000, 9,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  27641
 3398,13,      0,10,1,2,      0, 9,2,5,0,0,0,    0,    0,    0,  32063
 3190,13,      0,11,1,1,      0,11,2,2,0,0,0,    0,    0,    0,  31368
 3961,13,      0, 7,1,5,  20000, 7,2,2,0,0,1,    0,    0,    0,  45960
 3399,13,      0,10,1,5,      0, 9,2,5,0,0,0,    0,    0,    0,  52930
 4176,13,   5400, 4,2,7,  40000, 6,1,7,0,0,0,  900,  150,  750,  56068
 3785,13,  40000, 6,2,3,  18000, 7,1,2,0,0,0,    0,    0,    0,  42824
 3378,13,      0, 6,2,7,      0, 6,1,8,0,0,0,    0,    0,    0,  30761
 1328,13,  82000, 6,1,7,  72000, 6,2,7,0,1,0,  100,  100,    0, 126355
 3009,13,  40000, 6,2,2,  60000, 7,1,5,0,0,1, 2300, 1000, 1300, 128935
 4082,13,      0,14,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  18217
 2703,13,  15000, 6,2,5,      0,99,9,9,0,2,1, 2220, 1790,   80,  72416
 3343,13,  60000,10,1,1,  35000, 9,2,5,0,0,0,    0,    0,    0, 122298
 6503, 0, 300000, 3,1,3,      0, 3,2,7,2,0,0,    0,    0,    0, 141755
 3746,13,  60000, 9,1,2,      0,99,9,9,0,0,0,    0,    0,    0,  53090
 3368,13,  12000, 5,2,2,  85000, 6,1,2,0,1,1, 3640,  100, 1540, 164762
 4083,13,      0,14,2,1,      0,99,9,9,0,0,0,    0,    0,    0,   9788
 1227,13,  55000, 6,2,2,  40000, 6,1,3,0,1,0,    0,    0,    0,  78933
 4005,13,      0, 6,2,2,      0,99,9,9,0,0,1,13000,    0,13000,  62433
 4358,13,  30000, 6,2,7,      0, 4,1,2,0,0,0,    0,    0,    0,  60140
 1484,13,   6900, 4,2,1,      0,99,9,9,0,3,0,    0,    0,    0,  27675
 4197,13,      0, 7,2,2,      0,99,9,9,0,0,0,    0,    0,    0,   9785
 4339,13,      0, 9,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  17961
